customer_id,transaction_id,transaction_amount,amount_deviation,transaction_frequency,country_risk,customer_age,is_money_laundering,transaction_date,data_version,generation_timestamp,n_customers_param,max_tx_per_customer_param
1,1_1,9099.956137041174,1114.1805671248685,2,0.48690505169992815,56,0,2026-01-06 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_2,5888.83146180585,2096.944108110455,2,0.16047987894645707,56,0,2026-01-06 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_3,1901.109713245015,6084.66585667129,2,0.3834899237337603,56,0,2026-01-08 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_4,10372.406321071143,2386.6307511548375,1,0.4818889274644335,56,0,2026-01-03 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_5,11768.796458356368,3783.0208884400627,3,0.10860061982118321,56,1,2026-01-04 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_6,7963.703435981342,22.07213393496295,2,0.04237497824417922,56,0,2026-01-08 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_7,12751.845044643987,4766.069474727682,3,0.3579287927839609,56,1,2026-01-04 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
1,1_8,3956.6110304099075,4029.164539506398,3,0.8367034263208755,56,1,2026-01-04 11:26:31.693665,1.0,2026-01-09T11:26:31.693546,5000,10
2,2_1,3656.791846887336,824.3999448641566,1,0.4223765158261961,77,0,2026-01-02 11:26:31.697275,1.0,2026-01-09T11:26:31.693546,5000,10
3,3_1,3131.2872435636555,1418.2744304045582,1,0.11760372304627743,25,0,2026-01-08 11:26:31.700012,1.0,2026-01-09T11:26:31.693546,5000,10
4,4_1,16311.242203845672,6591.292459493545,1,0.16659593807435266,54,0,2026-01-02 11:26:31.703753,1.0,2026-01-09T11:26:31.693546,5000,10
4,4_2,5027.363721305729,4692.586023046398,1,0.4944084721177812,54,1,2026-01-06 11:26:31.703753,1.0,2026-01-09T11:26:31.693546,5000,10
4,4_3,11780.302410769249,2060.3526664171222,1,0.3753833165104958,54,0,2026-01-03 11:26:31.703753,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_1,8994.574188625775,2623.876999172582,5,0.17840847351292025,79,0,2026-01-05 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_2,2072.4197344772683,4298.277454975924,5,0.5338679327453629,79,1,2026-01-05 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_3,3481.626705574782,2889.0704838784104,5,0.23173027991917833,79,0,2026-01-05 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_4,6321.377354104999,49.31983534819392,5,0.4221046703932743,79,0,2026-01-05 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_5,6165.630655803096,205.06653365009697,5,0.1642974081723769,79,0,2026-01-05 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
5,5_6,10.0,6360.697189453193,1,0.1694877273714284,79,0,2026-01-07 11:26:31.706600,1.0,2026-01-09T11:26:31.693546,5000,10
